,目次,聲,等,呼,韻部,調,攝,反切,寬式中古擬音,廣通中古拼音,推導南京音,字,修改避重複音,改後擬音,改後拼音,小韻字數,平水韻目,訛字
,,,,,,,,,,,,"(請用OpenOffice的Calc打開本文件，設編碼爲“unicode“,分格號爲“,“，即可顯示正確表格)",,,,,,
510,上平25寒,影,一,開,寒,平,山,烏寒,ʔan˧˧,qan,ang1,安鞌(鞍)䀂䢿侒,,ʔan˧˧,qan,5,寒,
1075,下平22覃,影,一,開,覃,平,咸,烏含,ʔɒm˧˧,qöm,ang1,諳䳺(鵪)媕庵腤菴㞄馣嬜韽盦喑,,ʔɒm˧˧,qöm,12,覃,
850,下平11唐,影,一,開,唐,平,宕,烏郎,ʔaŋ˧˧,qang,ang1,鴦佒咉𧲱㹧眏姎肮,,ʔaŋ˧˧,qang,7,陽,
80,上平4江,影,二,開,江,平,江,握江,ʔʅɒŋ˧˧,qröng,ang1,胦,,ʔʅɒŋ˧˧,qröng,1,江,
508,上平25寒,疑,一,開,寒,平,山,俄寒,ŋan˧˧,ngan,ang2,豻犴雃𡽜,,ŋan˧˧,ngan,4,寒,
1086,下平22覃,疑,一,開,覃,平,咸,五含,ŋɒm˧˧,ngöm,ang2,䜙嵁𡪁,,ŋɒm˧˧,ngöm,3,覃,
857,下平11唐,疑,一,開,唐,平,宕,五剛,ŋaŋ˧˧,ngang,ang2,卬䭹枊昂䒢㭿䩕,,ŋaŋ˧˧,ngang,7,陽,
2007,上48感,影,一,開,覃,上,咸,烏感,ʔɒm˨˦ 'x,qö́m,ang3,晻黭揞唵隌罯黤㞄,,ʔɒm˨˦ 'x,qö́m,9,感,
2012,上48感,疑,一,開,覃,上,咸,五感,ŋɒm˨˦ 'x,ngö́m,ang3,顉㜝嵁,,ŋɒm˨˦ 'x,ngö́m,3,感,
2031,上49敢,影,一,開,談,上,咸,烏敢,ʔam˨˦ 'x,qám,ang3,埯揜,,ʔam˨˦ 'x,qám,2,感,
1195,上3講,影,二,開,江,上,江,烏項,ʔʅɒŋ˨˦ 'x,qrö́ng,ang3,慃,,ʔʅɒŋ˨˦ 'x,qrö́ng,1,講,
1843,上37蕩,影,一,開,唐,上,宕,烏朗,ʔaŋ˨˦ 'x,qáng,ang3,坱姎映泱咉醠䇦駚軮盎(㼜),,ʔaŋ˨˦ 'x,qáng,10,養,
1850,上37蕩,疑,一,開,唐,上,宕,五朗,ŋaŋ˨˦ 'x,ngáng,ang3,䭹,,ŋaŋ˨˦ 'x,ngáng,1,養,
3105,去53勘,影,一,開,覃,去,咸,烏紺,ʔɒm˧˩ 'h,qö̀m,ang4,暗闇,,ʔɒm˧˩ 'h,qö̀m,2,勘,
3110,去53勘,疑,一,開,覃,去,咸,五紺,ŋɒm˧˩ 'h,ngö̀m,ang4,儑,,ŋɒm˧˩ 'h,ngö̀m,1,勘,
2926,去42宕,影,一,開,唐,去,宕,烏浪,ʔaŋ˧˩ 'h,qàng,ang4,盎醠,,ʔaŋ˧˩ 'h,qàng,2,漾,
2927,去42宕,疑,一,開,唐,去,宕,五浪,ŋaŋ˧˩ 'h,ngàng,ang4,枊䭹𡵙,,ŋaŋ˧˩ 'h,ngàng,3,漾,
2634,去28翰,影,一,開,寒,去,山,烏旰,ʔan˧˩ 'h,qàn,ang4,按案洝晏荌䢿䅁,,ʔan˧˩ 'h,qàn,7,翰,
2638,去28翰,疑,一,開,寒,去,山,五旰,ŋan˧˩ 'h,ngàn,ang4,岸犴豻頇䮗㷳𡹼喭𨲊,,ŋan˧˩ 'h,ngàn,9,翰,
702,下平5肴,影,二,開,肴,平,效,於交,ʔʅau˧˧,qrau,ao1,䫜㕭坳窅軪眑咬梎𠣑,,ʔʅau˧˧,qrau,9,肴,
720,下平6豪,影,一,開,豪,平,效,於刀,ʔau˧˧,qau,ao1,𤏶(熝)䥝鏖,,ʔau˧˧,qau,3,豪,
718,下平6豪,疑,一,開,豪,平,效,五勞,ŋau˧˧,ngau,ao2,敖遨翺(翱)聱驁熬(䵅)嶅獒滶蔜鷔鼇螯(𧒥)謷嗸嗷䫨𢧴摮嫯䦋𣘢𦪈𩪕鰲鏊廒,,ŋau˧˧,ngau,25,豪,
1706,上31巧,影,二,開,肴,上,效,於絞,ʔʅau˨˦ 'x,qráu,ao3,拗鴢𢂊𥃯狕,,ʔʅau˨˦ 'x,qráu,5,巧,
1728,上32晧,影,一,開,豪,上,效,烏晧,ʔau˨˦ 'x,qáu,ao3,襖镺懊䐿芺䴠媼(媪)燠夭㤇郩蝹䯠𪁾,,ʔau˨˦ 'x,qáu,14,晧,
1730,上32晧,疑,一,開,豪,上,效,五老,ŋau˨˦ 'x,ngáu,ao3,𦽀𩑤,,ŋau˨˦ 'x,ngáu,2,晧,
2810,去37号,疑,一,開,豪,去,效,五到,ŋau˧˩ 'h,ngàu,ao4,傲嫯䫨鏊驁奡謷鷔,,ŋau˧˩ 'h,ngàu,8,号,
2817,去37号,影,一,開,豪,去,效,烏到,ʔau˧˩ 'h,qàu,ao4,奥(奧)懊䐿𩟇隩燠䜒镺墺𩼈澳,,ʔau˧˩ 'h,qàu,11,号,
2803,去36效,影,二,開,肴,去,效,於敎,ʔʅau˧˩ 'h,qràu,ao4,靿袎㑃箹軪,,ʔʅau˧˩ 'h,qràu,5,效,
341,上平14皆,影,二,開,皆,平,蟹,乙諧,ʔʅæi˧˧,qräi,ä1,𢰇,,ʔʅæi˧˧,qräi,1,佳,
385,上平16咍,影,一,開,咍,平,蟹,烏開,ʔɒi˧˧,qöi,ä1,哀埃唉欸毐㶼,,ʔɒi˧˧,qöi,6,灰,
334,上平13佳,影,二,開,佳,平,蟹,於佳,ʔʅɛ˧˧,qre,ä1,娃洼哇㰪𠴺,,ʔʅɛ˧˧,qre,5,佳,
396,上平16咍,疑,一,開,咍,平,蟹,五來,ŋɒi˧˧,ngöi,ä2,皚嵦敳㱯(𨻭)剴獃呆,,ŋɒi˧˧,ngöi,7,灰,
1415,上12蟹,影,二,開,佳,上,蟹,烏蟹,ʔʅɛ˨˦ 'x,qré,ä3,矮㢊躷,,ʔʅɛ˨˦ 'x,qré,3,蟹,
1427,上13駭,影,二,開,皆,上,蟹,於駭,ʔʅæi˨˦ 'x,qrä́i,ä3,挨唉,,ʔʅæi˨˦ 'x,qrä́i,2,蟹,
1459,上15海,影,一,開,咍,上,蟹,於改,ʔɒi˨˦ 'x,qö́i,ä3,欸㕈毐挨,,ʔɒi˨˦ 'x,qö́i,4,賄,
2471,去16怪,影,二,開,皆,去,蟹,烏界,ʔʅæi˧˩ 'h,qrä̀i,ä4,噫呃,,ʔʅæi˧˩ 'h,qrä̀i,2,卦,
2498,去17夬,影,二,開,夬,去,蟹,於犗,ʔʅaj˧˩ 'h,qràj,ä4,喝餲嗄䬵欬,,ʔʅaj˧˩ 'h,qràj,5,卦,
4016,去15卦,影,二,開,佳,去,蟹,烏懈,ʔʅɛ˧˩ 'h,qrè,ä4,隘阸㿄䅬賹,,ʔʅɛ˧˩ 'h,qrè,5,卦,
2423,去14泰,疑,一,開,泰,去,蟹,五蓋,ŋaj˧˩ 'h,ngàj,ä4,艾𧰿鴱哎,,ŋaj˧˩ 'h,ngàj,3,泰,
2424,去14泰,影,一,開,泰,去,蟹,於蓋,ʔaj˧˩ 'h,qàj,ä4,藹馤靄曖壒𣋞𣩱𢣏䔽𪕭,,ʔaj˧˩ 'h,qàj,10,泰,
2533,去19代,疑,一,開,咍,去,蟹,五漑,ŋɒi˧˩ 'h,ngö̀i,ä4,礙硋䙷閡儗懝𥝌,,ŋɒi˧˩ 'h,ngö̀i,7,隊,
2534,去19代,影,一,開,咍,去,蟹,烏代,ʔɒi˧˩ 'h,qö̀i,ä4,愛㤅𢟪僾𥴨薆曖靉璦,,ʔɒi˧˩ 'h,qö̀i,9,隊,
3736,入25德,影,一,開,登,入,曾,愛黑,ʔək˥,qëk,ä5,餩殕,,ʔək˥,qëk,2,職,
3606,入20陌,疑,二,開,庚,入,梗,五陌,ŋʅæk˥,ngräk,ä5,額頟䱮峉詻䩹,,ŋʅæk˥,ngräk,6,陌,
3609,入20陌,影,二,開,庚,入,梗,烏格,ʔʅæk˥,qräk,ä5,啞𩚬,,ʔʅæk˥,qräk,2,陌,
